idx,ability,base_correct,tuned_correct
667,Non-Literal Communication: Faux pas,1,1
668,Belief: Sequence false beliefs,0,0
669,Belief: Beliefs based action/emotions,1,1
670,Emotion: Atypical emotional reactions,1,1
671,Emotion: Hidden emotions,0,1
672,Knowledge: Information-knowledge links,0,1
673,Desire: Discrepant desires,1,1
674,Desire: Desires influence on actions,0,0
675,Belief: Beliefs based action/emotions,1,1
676,Emotion: Typical emotional reactions,1,1
677,Knowledge: Knowledge-pretend play links,0,1
678,Belief: Content false beliefs,1,1
679,Emotion: Typical emotional reactions,1,1
680,Belief: Content false beliefs Belief: Second-order beliefs,1,1
681,Emotion: Hidden emotions,1,1
682,Non-Literal Communication: Faux pas,1,1
683,Non-Literal communication: Humor,1,1
684,Intention: Intentions explanations,1,1
685,Belief: Location false beliefs Belief: Second-order beliefs,1,1
686,Intention: Intentions explanations,0,1
687,Intention: Intentions explanations,1,1
688,Non-Literal communication: Egocentric lies,1,1
689,Knowledge: Percepts-knowledge links,1,1
690,Belief: Content false beliefs,1,1
691,Emotion: Typical emotional reactions,1,1
692,Belief: Location false beliefs Belief: Second-order beliefs,1,1
693,Emotion: Moral emotions,0,0
694,Knowledge: Information-knowledge links,1,1
695,Non-Literal Communication: Faux pas,1,1
696,Knowledge: Information-knowledge links,0,1
697,Emotion: Discrepant emotions,1,1
698,Emotion: Mixed emotions,0,0
699,Non-Literal Communication: Faux pas,1,1
700,Non-Literal Communication: Faux pas,0,1
701,Emotion: Hidden emotions,1,1
702,Non-Literal Communication: Faux pas,0,1
703,Desire: Desires influence on actions,0,0
704,Intention: Intentions explanations,0,0
705,Non-Literal Communication: Faux pas,1,1
706,Knowledge: Information-knowledge links,0,0
707,Belief: Sequence false beliefs,1,1
708,Belief: Content false beliefs Belief: Second-order beliefs,1,1
709,Non-Literal communication: White lies,1,1
710,Knowledge: Information-knowledge links,1,1
711,Emotion: Atypical emotional reactions,0,1
712,Intention: Intentions explanations,0,0
713,Non-Literal Communication: Faux pas,1,0
714,Non-Literal communication: Humor,1,1
715,Emotion: Typical emotional reactions,1,1
716,Intention: Intentions explanations,1,1
717,Belief: Beliefs based action/emotions,1,1
718,Belief: Content false beliefs,0,1
719,Emotion: Atypical emotional reactions,0,1
720,Non-Literal Communication: Faux pas,1,1
721,Emotion: Atypical emotional reactions,0,0
722,Belief: Location false beliefs,1,1
723,Emotion: Typical emotional reactions,1,1
724,Non-Literal Communication: Faux pas,0,1
725,Non-Literal Communication: Faux pas,0,1
726,Belief: Location false beliefs,1,1
727,Belief: Content false beliefs Belief: Second-order beliefs,1,1
728,Non-Literal Communication: Faux pas,1,1
729,Belief: Location false beliefs,1,1
730,Belief: Content false beliefs,0,1
731,Non-Literal Communication: Faux pas,0,0
732,Non-Literal Communication: Involuntary lies,1,1
733,Belief: Content false beliefs,1,1
734,Intention: Intentions explanations,0,1
735,Belief: Content false beliefs,1,1
736,Desire: Multiple desires,0,0
737,Non-Literal Communication: Faux pas,1,1
738,Belief: Sequence false beliefs,0,0
739,Belief: Beliefs based action/emotions,1,1
740,Belief: Beliefs based action/emotions,1,1
741,Non-Literal Communication: Faux pas,1,1
742,Intention: Intentions explanations,0,0
743,Desire: Desires influence on actions,0,0
744,Non-Literal Communication: Faux pas,0,1
745,Non-Literal Communication: Faux pas,1,0
746,Belief: Beliefs based action/emotions,0,0
747,Emotion: Typical emotional reactions,0,0
748,Knowledge: Percepts-knowledge links,1,1
749,Belief: Location false beliefs Belief: Second-order beliefs,1,1
750,Emotion: Mixed emotions,0,0
751,Knowledge: Information-knowledge links,0,1
752,Non-Literal Communication: Faux pas,1,1
753,Emotion: Hidden emotions,1,1
754,Intention: Intentions explanations,1,1
755,Belief: Beliefs based action/emotions,0,0
756,Intention: Prediction of actions,1,1
757,Non-Literal Communication: Faux pas,1,1
758,Belief: Beliefs based action/emotions,0,1
759,Belief: Sequence false beliefs,0,1
760,Non-Literal Communication: Involuntary lies,1,1
761,Non-Literal Communication: Faux pas,1,1
762,Belief: Sequence false beliefs,0,1
763,Knowledge: Information-knowledge links,0,1
764,Non-Literal communication: Egocentric lies,1,1
765,Emotion: Hidden emotions,1,1
766,Intention: Intentions explanations,1,1
767,Belief: Location false beliefs Belief: Second-order beliefs,0,1
768,Belief: Location false beliefs Belief: Second-order beliefs,1,1
769,Belief: Location false beliefs,1,1
770,Emotion: Mixed emotions,0,0
771,Intention: Discrepant intentions,1,1
772,Non-Literal Communication: Faux pas,0,0
773,Knowledge: Information-knowledge links,0,0
774,Belief: Sequence false beliefs,1,1
775,Belief: Location false beliefs,1,1
776,Emotion: Atypical emotional reactions,0,0
777,Intention: Intentions explanations,1,1
778,Belief: Content false beliefs,0,1
779,Non-Literal Communication: Faux pas,1,0
780,Emotion: Typical emotional reactions,1,1
781,Emotion: Atypical emotional reactions,1,0
782,Belief: Content false beliefs Belief: Second-order beliefs,1,1
783,Belief: Location false beliefs,1,0
784,Emotion: Atypical emotional reactions,1,1
785,Belief: Beliefs based action/emotions,0,0
786,Belief: Beliefs based action/emotions,1,1
787,Belief: Location false beliefs,1,1
788,Belief: Content false beliefs,1,1
789,Non-Literal Communication: Faux pas,0,1
790,Knowledge: Knowledge-attention links,0,0
791,Belief: Content false beliefs Belief: Second-order beliefs,1,1
792,Non-Literal Communication: Faux pas,1,1
793,Intention: Completion of failed actions,0,0
794,Belief: Location false beliefs Belief: Second-order beliefs,1,1
795,Emotion: Hidden emotions,0,0
796,Intention: Discrepant intentions,1,1
797,Belief: Content false beliefs Belief: Second-order beliefs,1,1
798,Emotion: Typical emotional reactions,1,1
799,Belief: Beliefs based action/emotions,0,1
800,Non-Literal Communication: Faux pas,0,1
801,Non-Literal Communication: Involuntary lies,1,1
802,Emotion: Typical emotional reactions,1,1
803,Non-Literal communication: Humor,1,1
804,Belief: Content false beliefs,1,1
805,Belief: Location false beliefs,1,1
806,Non-Literal Communication: Faux pas,1,1
807,Non-Literal Communication: Faux pas,1,1
808,Belief: Sequence false beliefs,0,0
809,Non-Literal communication: Humor,1,1
810,Belief: Location false beliefs,0,1
811,Belief: Location false beliefs Belief: Second-order beliefs,0,1
812,Desire: Desires influence on actions,1,0
813,Non-Literal Communication: Involuntary lies,1,1
814,Belief: Beliefs based action/emotions,0,1
815,Non-Literal Communication: Faux pas,1,0
816,Desire: Desire-action contradiction,0,1
817,Non-Literal Communication: Faux pas,1,1
818,Non-Literal Communication: Faux pas,0,0
819,Belief: Sequence false beliefs,0,0
820,Belief: Content false beliefs Belief: Second-order beliefs,1,1
821,Knowledge: Information-knowledge links,0,0
822,Intention: Intentions explanations,0,0
823,Knowledge: Information-knowledge links,0,0
824,Intention: Intentions explanations,1,0
825,Belief: Location false beliefs,1,0
826,Belief: Beliefs based action/emotions,1,1
827,Belief: Content false beliefs,1,1
828,Belief: Content false beliefs,1,1
829,Belief: Content false beliefs Belief: Second-order beliefs,1,1
830,Knowledge: Information-knowledge links,0,1
831,Non-Literal Communication: Involuntary lies,0,1
832,Emotion: Discrepant emotions,1,1
833,Knowledge: Information-knowledge links,0,1
834,Non-Literal Communication: Faux pas,0,1
835,Emotion: Typical emotional reactions,0,1
836,Non-Literal Communication: Faux pas,1,1
837,Emotion: Hidden emotions,0,0
838,Desire: Desires influence on actions,1,1
839,Emotion: Discrepant emotions,1,0
840,Belief: Content false beliefs Belief: Second-order beliefs,1,1
841,Non-Literal Communication: Faux pas,1,1
