,source,task,category,ability,answer
344,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,D
345,ToMBench,Percepts-Knowledge Links,Knowledge,Knowledge: Percepts-knowledge links,A
346,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,A
347,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B
348,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,B
349,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B
350,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C
351,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,C
352,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
353,ToMBench,Strange Story Task,Desire,Desire: Desire-action contradiction,B
354,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B
355,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D
356,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C
357,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,D
358,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
359,ToMBench,Hinting Task Test,Non-Literal Communication,Non-Literal Communication: Irony/Sarcasm,D
360,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,D
361,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,B
362,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Egocentric lies,B
363,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,D
364,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,C
365,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,A
366,ToMBench,Completion of Failed Actions,Intention,Intention: Completion of failed actions,D
367,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
368,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,D
369,ToMBench,Discrepant Intentions,Intention,Intention: Discrepant intentions,D
370,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
371,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
372,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,B
373,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,C
374,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
375,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D
376,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
377,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D
378,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
379,ToMBench,Strange Story Task,Desire,Desire: Desire-action contradiction,D
380,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
381,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,B
382,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
383,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
384,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,B
385,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
386,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Egocentric lies,A
387,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,A
388,ToMBench,Emotion Regulation,Emotion,Emotion: Emotion regulation,B
389,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,B
390,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,B
391,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,B
392,ToMBench,Prediction of Actions,Intention,Intention: Prediction of actions,C
393,ToMBench,Strange Story Task,Belief,Belief: Beliefs based action/emotions,B
394,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
395,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
396,ToMBench,Multiple Desires,Desire,Desire: Multiple desires,A
397,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
398,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
399,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D
400,ToMBench,Moral Emotions,Emotion,Emotion: Moral emotions,B
401,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,C
402,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,B
403,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
404,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C
405,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,B
406,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,D
407,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
408,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A
409,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,A
410,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,D
411,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,A
412,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Humor,C
413,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
414,ToMBench,Percepts-Knowledge Links,Knowledge,Knowledge: Percepts-knowledge links,A
415,ToMBench,Multiple Desires,Desire,Desire: Multiple desires,A
416,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,B
417,ToMBench,Prediction of Actions,Intention,Intention: Prediction of actions,D
418,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on emotions (beliefs),B
419,ToMBench,Percepts-Knowledge Links,Knowledge,Knowledge: Percepts-knowledge links,B
420,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,B
421,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
422,ToMBench,Knowledge-Attention Links,Knowledge,Knowledge: Knowledge-attention links,A
423,ToMBench,Strange Story Task,Desire,Desire: Desire-action contradiction,C
424,ToMBench,Moral Emotions,Emotion,Emotion: Moral emotions,B
425,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,C
426,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,C
427,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,C
428,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Humor,B
429,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,A
430,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
431,ToMBench,Strange Story Task,Belief,Belief: Beliefs based action/emotions,B
432,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
433,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,A
434,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,B
435,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
436,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,B
437,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
438,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,A
439,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,B
440,ToMBench,Strange Story Task,Belief,Belief: Beliefs based action/emotions,C
441,ToMBench,Percepts-Knowledge Links,Knowledge,Knowledge: Percepts-knowledge links,B
442,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Humor,B
443,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,C
444,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,C
445,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,C
446,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A
447,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
448,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
449,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,D
450,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,D
451,ToMBench,Strange Story Task,Belief,Belief: Identity false beliefs,B
452,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,D
453,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
454,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,A
455,ToMBench,Discrepant Intentions,Intention,Intention: Discrepant intentions,C
456,ToMBench,Discrepant Emotions,Emotion,Emotion: Discrepant emotions,A
457,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
458,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
459,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
460,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
461,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
462,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,B
463,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,D
464,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,C
465,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
466,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C
467,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,C
468,ToMBench,Strange Story Task,Emotion,Emotion: Mixed emotions,C
469,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: White lies,D
470,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
471,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,B
472,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,C
473,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
474,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
475,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
476,ToMBench,Strange Story Task,Desire,Desire: Desire-action contradiction,A
477,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,A
478,ToMBench,Strange Story Task,Belief,Belief: Beliefs based action/emotions,B
479,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,B
480,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,D
481,ToMBench,Knowledge-Attention Links,Knowledge,Knowledge: Knowledge-attention links,A
482,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
483,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,A
484,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,C
485,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,C
486,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,A
487,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,B
488,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,B
489,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,B
490,ToMBench,Percepts-Knowledge Links,Knowledge,Knowledge: Percepts-knowledge links,B
491,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,C
492,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,D
493,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,A
494,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,D
495,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
496,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,B
497,ToMBench,Discrepant Desires,Desire,Desire: Discrepant desires,C
498,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,A
499,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,B
500,ToMBench,Strange Story Task,Emotion,Emotion: Mixed emotions,A
501,ToMBench,Strange Story Task,Desire,Desire: Desire-action contradiction,B
502,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,A
503,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,B
504,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,A
505,ToMBench,Strange Story Task,Desire,Desire: Desire-action contradiction,B
506,ToMBench,Discrepant Intentions,Intention,Intention: Discrepant intentions,D
507,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,A
508,ToMBench,Strange Story Task,Emotion,Emotion: Mixed emotions,A
509,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,D
510,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
511,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,D
512,ToMBench,Moral Emotions,Emotion,Emotion: Moral emotions,B
513,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on emotions (beliefs),A
514,ToMBench,Discrepant Emotions,Emotion,Emotion: Discrepant emotions,B
515,ToMBench,Strange Story Task,Belief,Belief: Identity false beliefs,B
516,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,A
517,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,C
518,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
519,ToMBench,Strange Story Task,Belief,Belief: Beliefs based action/emotions,C
520,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,C
521,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
522,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,B
523,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,A
524,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
525,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,C
526,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,C
527,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,C
528,ToMBench,Strange Story Task,Non-Literal Communication,Non-Literal Communication: Involuntary lies,B
529,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,B
530,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Humor,A
531,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,D
532,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,C
533,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
534,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D
535,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,B
536,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
537,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,B
538,ToMBench,Discrepant Intentions,Intention,Intention: Discrepant intentions,D
539,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,D
540,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
541,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,B
542,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,B
543,ToMBench,Moral Emotions,Emotion,Emotion: Moral emotions,C
544,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,B
545,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,D
546,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,C
547,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,C
548,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,C
549,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,A
550,ToMBench,Strange Story Task,Desire,Desire: Desire-action contradiction,B
551,ToMBench,Knowledge-Pretend Play Links,Knowledge,Knowledge: Knowledge-pretend play links,D
552,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
553,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
554,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,A
555,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
556,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,B
557,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
558,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,C
559,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,D
560,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
561,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,A
562,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,C
563,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,A
564,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
565,ToMBench,Knowledge-Pretend Play Links,Knowledge,Knowledge: Knowledge-pretend play links,B
566,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A
567,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,A
568,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,B
569,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,C
570,ToMBench,Strange Story Task,Desire,Desire: Desire-action contradiction,B
571,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,B
572,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
573,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,C
574,ToMBench,Strange Story Task,Belief,Belief: Identity false beliefs,B
575,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,A
576,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,D
577,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,B
578,ToMBench,Percepts-Knowledge Links,Knowledge,Knowledge: Percepts-knowledge links,B
579,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,C
580,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
581,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,D
582,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C
583,ToMBench,Discrepant Intentions,Intention,Intention: Discrepant intentions,A
584,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,B
585,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Egocentric lies,D
586,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
587,ToMBench,Emotion Regulation,Emotion,Emotion: Emotion regulation,D
588,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,B
589,ToMBench,Hinting Task Test,Non-Literal Communication,Non-Literal Communication: Irony/Sarcasm,B
590,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,A
591,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,A
592,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,A
593,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
594,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A
595,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Egocentric lies,B
596,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,C
597,ToMBench,Discrepant Emotions,Emotion,Emotion: Discrepant emotions,C
598,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
599,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,C
600,ToMBench,Completion of Failed Actions,Intention,Intention: Completion of failed actions,A
601,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,B
602,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,C
603,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,C
604,ToMBench,Discrepant Desires,Desire,Desire: Discrepant desires,A
605,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: White lies,A
606,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
607,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
608,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,B
609,ToMBench,Hinting Task Test,Non-Literal Communication,Non-Literal Communication: Irony/Sarcasm,A
610,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,C
611,ToMBench,Strange Story Task,Belief,Belief: Beliefs based action/emotions,A
612,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
613,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B
614,ToMBench,Hinting Task Test,Non-Literal Communication,Non-Literal Communication: Irony/Sarcasm,D
615,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B
616,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,C
617,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
618,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,C
619,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,B
620,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
621,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,C
622,ToMBench,Strange Story Task,Belief,Belief: Identity false beliefs,D
623,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,B
624,ToMBench,Discrepant Emotions,Emotion,Emotion: Discrepant emotions,A
625,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,B
626,ToMBench,Moral Emotions,Emotion,Emotion: Moral emotions,A
627,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
628,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B
629,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,D
630,ToMBench,Emotion Regulation,Emotion,Emotion: Emotion regulation,A
631,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,C
632,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,B
633,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,C
634,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
635,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,C
636,ToMBench,Percepts-Knowledge Links,Knowledge,Knowledge: Percepts-knowledge links,D
637,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
638,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,D
639,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,D
640,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,A
641,ToMBench,Strange Story Task,Non-Literal Communication,Non-Literal Communication: Involuntary lies,D
642,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
643,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: White lies,B
644,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,B
645,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,C
646,ToMBench,Discrepant Intentions,Intention,Intention: Discrepant intentions,A
647,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A
648,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,B
649,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,B
650,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,D
651,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Egocentric lies,B
652,ToMBench,Moral Emotions,Emotion,Emotion: Moral emotions,C
653,ToMBench,Strange Story Task,Belief,Belief: Beliefs based action/emotions,B
654,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,C
655,ToMBench,Strange Story Task,Belief,Belief: Beliefs based action/emotions,B
656,ToMBench,Strange Story Task,Belief,Belief: Identity false beliefs,B
657,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
658,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,A
659,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
660,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,B
661,ToMBench,Discrepant Intentions,Intention,Intention: Discrepant intentions,B
662,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,B
663,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,D
664,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,B
665,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,D
666,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,B
667,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,B
668,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: White lies,B
669,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,C
670,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
671,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,D
672,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
673,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,B
674,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
675,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,C
676,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,B
677,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B
678,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
679,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on emotions (beliefs),D
680,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
681,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A
